id,src,startTime,answer,answerKeyword
1,qx4xDFP2WDU,52,성시경,
2,f5ShDNOqq1E,40,나얼,
3,x98m3GwFTXY,73,국카스텐,
4,dI8NZsjRyGk,0,스탠딩에그,
5,yypk2c44trA,0,바닐라어쿠스틱,
6,9U8uA702xrE,6,볼빨간사춘기,볼사
7,SmTRaSg2fTQ,3,이날치,
8,mzYM9QKKWSg,47,아이유,
9,va5rf20Un24,20,엠씨더맥스,MC더맥스 MCTHEMAX 앰맥
10,oTXCgR93zC8,0,현아,
11,L15ZZX9n56M,0,청하,
12,H8YW1tlsmE8,13,선미,
13,74P3lXHsxz0,28,윤종신,
14,9xn5bfdT7Ec,0,김경호,
15,DkLRNcMUTgc,0,김범수,
16,pC6tPEaAiYU,3,혁오,
17,6HWxLhoF-40,0,나훈아,
18,tQP-ONLL13U,0,태진아,
19,mshUp6uJbcM,0,조용필,
20,M15SI00umn4,0,부활,
21,CidaB6OtveI,0,박완규,부활
22,L9ro1KjkJMg,0,에일리,
23,OxgiiyLp5pk,73,박효신,
24,Asmt-dgB-64,68,소향,
25,Nso7yIr8QVM,71,노을,
26,dEIULaQgGiQ,0,산들,
27,P0Lb9CqfrK8,85,임창정,소주
28,9T_uq_HpfyQ,50,잔나비,
29,6V8fc3IeZ20,56,버스커버스커,벜벜
30,dmSUBdk4SY4,42,마크툽,
31,NEAwZaYIQ4A,20,임영웅,
32,OK7w9poCfiI,0,폴킴,
33,WlVxEZy85m8,60,카더가든,
34,GAdFpZHTh1I,0,규현,조규현 풍양조규현
35,EAWHtXQpYX4,70,백지영,
36,tNi3R2diJ2k,0,크라잉넛,
37,rXUxbaUkHus,48,델리스파이스,
38,kFv1IQLekU0,40,노브레인,
39,ao58vQDMVlQ,112,노라조,
40,3xdfBwFb2DU,76,허각,
41,T5_O38Bpeto,25,김필,
42,fmq2k0MkZ0g,75,어반자카파,
43,qvJ1FHRR1n8,0,자우림,
44,HkQ6HvW9nrA,18,체리필터,
45,zJfF_41gOk8,13,김종국,
46,xhj-xbO6Yvs,58,이승기,
47,xZdTzNLmCN8,75,안예은,
48,LneGd_itknE,55,김상민,
49,URdpWdfTlao,63,유리상자,
50,swM_GL06CxM,78,에스지워너비,SG워너비 sg워너비
51,l5BgC6iwLNA,0,김태우,
52,pBRZzsO3L3o,75,토이,
53,FZpYfZiBEaU,0,윤하,
